================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 10000000
每次更新步数: 1000
更新次数: 10000
图像尺寸: (64, 64)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 936,625 (可训练: 936,625)

开始训练...

Update 1/10000 | Step 1000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0094 | Value Loss: 0.0037 | SPS: 131 | ETA: 1272.1min
Update 10/10000 | Step 10000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0049 | Value Loss: 0.0088 | SPS: 150 | ETA: 1110.0min
Update 20/10000 | Step 20000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0052 | Value Loss: 0.0037 | SPS: 165 | ETA: 1008.1min
Update 30/10000 | Step 30000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0030 | Value Loss: 0.0050 | SPS: 170 | ETA: 977.5min
Update 40/10000 | Step 40000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0028 | Value Loss: 0.0007 | SPS: 172 | ETA: 965.1min
Update 50/10000 | Step 50000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0031 | Value Loss: 0.0080 | SPS: 173 | ETA: 958.6min
Update 60/10000 | Step 60000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0071 | Value Loss: 0.0068 | SPS: 174 | ETA: 952.1min
Update 70/10000 | Step 70000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0044 | Value Loss: 0.0016 | SPS: 174 | ETA: 951.1min
Update 80/10000 | Step 80000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0050 | Value Loss: 0.0028 | SPS: 173 | ETA: 955.7min
Update 90/10000 | Step 90000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0039 | Value Loss: 0.0009 | SPS: 170 | ETA: 971.6min
Update 100/10000 | Step 100000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0036 | Value Loss: 0.0011 | SPS: 167 | ETA: 988.0min
  ✓ 保存检查点: checkpoints/ppo_visual_update_100.pt
Update 110/10000 | Step 110000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0058 | Value Loss: 0.0007 | SPS: 168 | ETA: 981.2min
Update 120/10000 | Step 120000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0050 | Value Loss: 0.0003 | SPS: 168 | ETA: 980.2min
Update 130/10000 | Step 130000/10000000 | Mean Reward: 0.00 | Policy Loss: 0.0021 | Value Loss: 0.0003 | SPS: 168 | ETA: 979.2min
Update 140/10000 | Step 140000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0017 | Value Loss: 0.0008 | SPS: 168 | ETA: 978.2min
Update 150/10000 | Step 150000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0025 | Value Loss: 0.0038 | SPS: 168 | ETA: 977.2min
Update 160/10000 | Step 160000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0069 | Value Loss: 0.0006 | SPS: 169 | ETA: 970.4min
Update 170/10000 | Step 170000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0043 | Value Loss: 0.0010 | SPS: 169 | ETA: 969.4min
Update 180/10000 | Step 180000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0028 | Value Loss: 0.0089 | SPS: 169 | ETA: 968.4min
Update 190/10000 | Step 190000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0026 | Value Loss: 0.0109 | SPS: 169 | ETA: 967.5min
Update 200/10000 | Step 200000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0011 | Value Loss: 0.0015 | SPS: 170 | ETA: 960.8min
  ✓ 保存检查点: checkpoints/ppo_visual_update_200.pt
Update 210/10000 | Step 210000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0084 | Value Loss: 0.0092 | SPS: 170 | ETA: 959.8min
Update 220/10000 | Step 220000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0026 | Value Loss: 0.0030 | SPS: 170 | ETA: 958.8min
Update 230/10000 | Step 230000/10000000 | Mean Reward: 0.00 | Policy Loss: 0.0003 | Value Loss: 0.0012 | SPS: 170 | ETA: 957.8min
Update 240/10000 | Step 240000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0032 | Value Loss: 0.0013 | SPS: 171 | ETA: 951.3min
Update 250/10000 | Step 250000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0038 | Value Loss: 0.0029 | SPS: 171 | ETA: 950.3min
Update 260/10000 | Step 260000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0067 | Value Loss: 0.0170 | SPS: 171 | ETA: 949.3min
Update 270/10000 | Step 270000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0041 | Value Loss: 0.0009 | SPS: 172 | ETA: 942.8min
Update 280/10000 | Step 280000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0027 | Value Loss: 0.0019 | SPS: 172 | ETA: 941.9min
Update 290/10000 | Step 290000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0046 | Value Loss: 0.0104 | SPS: 172 | ETA: 940.9min
Update 300/10000 | Step 300000/10000000 | Mean Reward: 0.00 | Policy Loss: 0.0017 | Value Loss: 0.0061 | SPS: 172 | ETA: 939.9min
  ✓ 保存检查点: checkpoints/ppo_visual_update_300.pt
Update 310/10000 | Step 310000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0075 | Value Loss: 0.0081 | SPS: 172 | ETA: 939.0min
Update 320/10000 | Step 320000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0017 | Value Loss: 0.0048 | SPS: 173 | ETA: 932.6min
Update 330/10000 | Step 330000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0017 | Value Loss: 0.0027 | SPS: 173 | ETA: 931.6min
Update 340/10000 | Step 340000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0035 | Value Loss: 0.0066 | SPS: 173 | ETA: 930.6min
Update 350/10000 | Step 350000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0046 | Value Loss: 0.0034 | SPS: 173 | ETA: 929.7min
Update 360/10000 | Step 360000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0040 | Value Loss: 0.0083 | SPS: 173 | ETA: 928.7min
Update 370/10000 | Step 370000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0016 | Value Loss: 0.0029 | SPS: 173 | ETA: 927.7min
Update 380/10000 | Step 380000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0023 | Value Loss: 0.0063 | SPS: 173 | ETA: 926.8min
Update 390/10000 | Step 390000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0037 | Value Loss: 0.0023 | SPS: 174 | ETA: 920.5min
Update 400/10000 | Step 400000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0013 | Value Loss: 0.0043 | SPS: 174 | ETA: 919.5min
  ✓ 保存检查点: checkpoints/ppo_visual_update_400.pt
