================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 10000000
每次更新步数: 200
更新次数: 50000
图像尺寸: (64, 64)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 936,625 (可训练: 936,625)

开始训练...

Update 1/50000 | Step 200/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0133 | Value Loss: 0.1562 | SPS: 113 | ETA: 1474.9min
Update 10/50000 | Step 2000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0069 | Value Loss: 0.0962 | SPS: 167 | ETA: 997.8min
Update 20/50000 | Step 4000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0060 | Value Loss: 0.0676 | SPS: 171 | ETA: 974.3min
Update 30/50000 | Step 6000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0126 | Value Loss: 0.1044 | SPS: 172 | ETA: 968.4min
Update 40/50000 | Step 8000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0028 | Value Loss: 0.2473 | SPS: 173 | ETA: 962.6min
Update 50/50000 | Step 10000/10000000 | Mean Reward: 0.00 | Policy Loss: 0.0045 | Value Loss: 0.3372 | SPS: 173 | ETA: 962.4min
Update 60/50000 | Step 12000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0080 | Value Loss: 0.2433 | SPS: 166 | ETA: 1002.8min
Update 70/50000 | Step 14000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0061 | Value Loss: 0.0318 | SPS: 167 | ETA: 996.6min
Update 80/50000 | Step 16000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0036 | Value Loss: 0.1899 | SPS: 169 | ETA: 984.6min
Update 90/50000 | Step 18000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0040 | Value Loss: 0.5191 | SPS: 170 | ETA: 978.6min
Update 100/50000 | Step 20000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0009 | Value Loss: 0.1283 | SPS: 171 | ETA: 972.7min
  ✓ 保存检查点: checkpoints/ppo_visual_update_100.pt
Update 110/50000 | Step 22000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0012 | Value Loss: 0.1455 | SPS: 170 | ETA: 978.2min
Update 120/50000 | Step 24000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0009 | Value Loss: 0.1846 | SPS: 169 | ETA: 983.8min
Update 130/50000 | Step 26000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0051 | Value Loss: 0.4148 | SPS: 169 | ETA: 983.6min
Update 140/50000 | Step 28000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0025 | Value Loss: 0.2376 | SPS: 169 | ETA: 983.4min
Update 150/50000 | Step 30000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0065 | Value Loss: 0.0982 | SPS: 170 | ETA: 977.5min
Update 160/50000 | Step 32000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0088 | Value Loss: 0.1792 | SPS: 170 | ETA: 977.3min
Update 170/50000 | Step 34000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0042 | Value Loss: 0.2887 | SPS: 170 | ETA: 977.1min
Update 180/50000 | Step 36000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0047 | Value Loss: 0.2947 | SPS: 171 | ETA: 971.2min
Update 190/50000 | Step 38000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0037 | Value Loss: 0.8157 | SPS: 171 | ETA: 971.0min
Update 200/50000 | Step 40000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0004 | Value Loss: 0.2808 | SPS: 172 | ETA: 965.1min
  ✓ 保存检查点: checkpoints/ppo_visual_update_200.pt
Update 210/50000 | Step 42000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0069 | Value Loss: 0.9426 | SPS: 172 | ETA: 964.9min
Update 220/50000 | Step 44000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0055 | Value Loss: 0.4298 | SPS: 172 | ETA: 964.7min
Update 230/50000 | Step 46000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0022 | Value Loss: 0.6631 | SPS: 172 | ETA: 964.5min
Update 240/50000 | Step 48000/10000000 | Mean Reward: 0.00 | Policy Loss: -0.0061 | Value Loss: 0.7209 | SPS: 172 | ETA: 964.3min
