================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 1000000
每次更新步数: 100
更新次数: 10000
图像尺寸: (128, 128)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 5,731,409 (可训练: 5,731,409)

开始训练...

Update 1/10000 | Step 100/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0093 | Value Loss: 0.0337 | SPS: 57 | ETA: 292.4min
Update 10/10000 | Step 1000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0975 | Value Loss: 0.0963 | SPS: 95 | ETA: 175.3min
Update 20/10000 | Step 2000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0687 | Value Loss: 0.0993 | SPS: 99 | ETA: 168.0min
Update 30/10000 | Step 3000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1563 | Value Loss: 0.1457 | SPS: 104 | ETA: 159.8min
Update 40/10000 | Step 4000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1188 | Value Loss: 0.0711 | SPS: 105 | ETA: 158.1min
Update 50/10000 | Step 5000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0273 | Value Loss: 0.1113 | SPS: 108 | ETA: 153.5min
Update 60/10000 | Step 6000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0108 | Value Loss: 0.0512 | SPS: 109 | ETA: 152.0min
Update 70/10000 | Step 7000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0284 | Value Loss: 0.0214 | SPS: 110 | ETA: 150.5min
Update 80/10000 | Step 8000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.1416 | Value Loss: 0.0193 | SPS: 111 | ETA: 148.9min
Update 90/10000 | Step 9000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1649 | Value Loss: 0.0218 | SPS: 110 | ETA: 150.2min
Update 100/10000 | Step 10000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.1451 | Value Loss: 0.0052 | SPS: 110 | ETA: 150.0min
  ✓ 保存检查点: checkpoints/ppo_visual_update_100.pt
Update 110/10000 | Step 11000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.2685 | Value Loss: 0.0099 | SPS: 111 | ETA: 148.5min
Update 120/10000 | Step 12000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0723 | Value Loss: 0.0016 | SPS: 112 | ETA: 147.0min
Update 130/10000 | Step 13000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0140 | Value Loss: 0.0020 | SPS: 111 | ETA: 148.2min
Update 140/10000 | Step 14000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.1315 | Value Loss: 0.0013 | SPS: 111 | ETA: 148.0min
Update 150/10000 | Step 15000/1000000 | Mean Reward: 0.00 | Policy Loss: 0.0669 | Value Loss: 0.0008 | SPS: 112 | ETA: 146.6min
Update 160/10000 | Step 16000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.4792 | Value Loss: 0.0016 | SPS: 112 | ETA: 146.4min
Update 170/10000 | Step 17000/1000000 | Mean Reward: 0.00 | Policy Loss: -0.0155 | Value Loss: 0.0004 | SPS: 112 | ETA: 146.3min
